shopee,NIL,Under Armour,Under Armour UA Men's Essential Sportstyle Shoes,"12%OFF, 10%OFF, 10%OFF",$79.00,$59.25,2,https://shopee.sg/Under-Armour-UA-Men's-Essential-Sportstyle-Shoes-i.252648730.11264685402?sp_atk=06a45642-af2e-4170-81b7-b52fe115f280&xptdk=06a45642-af2e-4170-81b7-b52fe115f280,https://down-sg.img.susercontent.com/file/sg-11134201-7qvdu-livh6dt59si75e,04-08-2023
shopee,NIL,Under Armour,Under Armour UA Men's Ansa Fixed Slides,"10%OFF, 10%OFF, 12%OFF",$35.00,$26.25 - $35.00,2,https://shopee.sg/Under-Armour-UA-Men's-Ansa-Fixed-Slides-i.252648730.9630257251?sp_atk=af086721-bb13-4e6e-b88e-8eeb9537cf6a&xptdk=af086721-bb13-4e6e-b88e-8eeb9537cf6a,https://down-sg.img.susercontent.com/file/sg-11134201-7qvd9-livh9167n3y9a6,04-08-2023
shopee,NIL,Under Armour,Under Armour UA Men's Charged Escape 4 Running Shoes,"12%OFF, 10%OFF, 10%OFF",No Price Reduction,$129.00,2,https://shopee.sg/Under-Armour-UA-Men's-Charged-Escape-4-Running-Shoes-i.252648730.21756565269?sp_atk=eb545b89-8acf-46f1-96de-49751d68c291&xptdk=eb545b89-8acf-46f1-96de-49751d68c291,https://down-sg.img.susercontent.com/file/sg-11134201-7qve8-livgibyiaubx5a,04-08-2023
shopee,NIL,Under Armour,Under Armour UA Men's Charged Focus Training Shoes,"12%OFF, 10%OFF, 10%OFF",$129.00,$77.40,2,https://shopee.sg/Under-Armour-UA-Men's-Charged-Focus-Training-Shoes-i.252648730.12906100499?sp_atk=2a6c6643-7ad1-4b98-8637-91603cb72106&xptdk=2a6c6643-7ad1-4b98-8637-91603cb72106,https://down-sg.img.susercontent.com/file/sg-11134201-7qvfs-livh1mnrotfx8f,04-08-2023
shopee,NIL,Under Armour,Under Armour UA Men's Locker Camo Slides,"10%OFF, 10%OFF, 12%OFF",No Price Reduction,$29.00,1,https://shopee.sg/Under-Armour-UA-Men's-Locker-Camo-Slides-i.252648730.11646714410?sp_atk=c89c4ed8-c081-406a-9601-2174c46173cd&xptdk=c89c4ed8-c081-406a-9601-2174c46173cd,https://down-sg.img.susercontent.com/file/sg-11134201-7qvf7-lj51rm755zd5ad,04-08-2023
shopee,NIL,Under Armour,Under Armour UA Men's Charge Vantage 2 Running Shoes,"12%OFF, 10%OFF, 10%OFF",$99.00,$74.25 - $99.00,1,https://shopee.sg/Under-Armour-UA-Men's-Charge-Vantage-2-Running-Shoes-i.252648730.22422501226?sp_atk=c982877c-08bc-4bbb-9454-f34ce14c47a2&xptdk=c982877c-08bc-4bbb-9454-f34ce14c47a2,https://down-sg.img.susercontent.com/file/sg-11134201-7qvfr-livgfeqa91s983,04-08-2023
shopee,NIL,Under Armour,Under Armour UA Men's HOVR™ Machina 3 Daylight Running Shoes,"12%OFF, 10%OFF, 10%OFF",$229.00,$137.40,1,https://shopee.sg/Under-Armour-UA-Men's-HOVR™-Machina-3-Daylight-Running-Shoes-i.252648730.21059017562?sp_atk=839ad7d8-794b-4043-ae10-90dc2408c63d&xptdk=839ad7d8-794b-4043-ae10-90dc2408c63d,https://down-sg.img.susercontent.com/file/sg-11134201-7qvdb-livgk0s98zrh33,04-08-2023
shopee,NIL,Under Armour,Under Armour UA Men's Project Rock 4 Training Shoes,"12%OFF, 10%OFF, 10%OFF",$219.00,$131.40,1,https://shopee.sg/Under-Armour-UA-Men's-Project-Rock-4-Training-Shoes-i.252648730.12537549989?sp_atk=8d2a86d1-e0f5-401d-8cb6-8203aef58bd3&xptdk=8d2a86d1-e0f5-401d-8cb6-8203aef58bd3,https://down-sg.img.susercontent.com/file/sg-11134201-7qvdy-livh30l6l48x00,04-08-2023
shopee,NIL,Under Armour,Under Armour UA Men's Fat Tire Slides,"12%OFF, 10%OFF, 10%OFF",$89.00,$53.40,0,https://shopee.sg/Under-Armour-UA-Men's-Fat-Tire-Slides-i.252648730.23921327286?sp_atk=15f2b563-7d19-4dcc-839f-7a3c49ebe0c7&xptdk=15f2b563-7d19-4dcc-839f-7a3c49ebe0c7,https://down-sg.img.susercontent.com/file/sg-11134201-7qvdi-livg8r9qo67n3e,04-08-2023
shopee,NIL,Under Armour,Under Armour UA Men's  HOVR™ Phantom 2 IntelliKnit Running Shoes,"12%OFF, 10%OFF, 10%OFF",$229.00,$137.40,0,https://shopee.sg/Under-Armour-UA-Men's-HOVR™-Phantom-2-IntelliKnit-Running-Shoes-i.252648730.23503558740?sp_atk=93ef6819-b364-4cb7-bd46-c39e51ceb643&xptdk=93ef6819-b364-4cb7-bd46-c39e51ceb643,https://down-sg.img.susercontent.com/file/sg-11134201-7qvd7-livgaditfcow09,04-08-2023
