shopee,Running,Adidas,adidas Running Lite Racer 2.0 Shoes Men Black EG3284,$5 OFF,$90.00 ,$89.00 ,15,https://shopee.sg/adidas-Running-Lite-Racer-2.0-Shoes-Men-Black-EG3284-i.265436651.9384305192?sp_atk=5aed0049-c263-4628-99b6-2543bcac5593&xptdk=5aed0049-c263-4628-99b6-2543bcac5593,https://down-sg.img.susercontent.com/file/sg-11134201-7qvd2-ljy3kzy9znr204,No product description available.,03-08-23
shopee,Running,Adidas,adidas Running Run Falcon 2.0 Shoes Men Grey GX8240,$5 OFF,$79.00 ,$63.20 ,15,https://shopee.sg/adidas-Running-Run-Falcon-2.0-Shoes-Men-Grey-GX8240-i.265436651.23022231917?sp_atk=47a7753e-1638-4ca4-8b6a-9b1639951dc1&xptdk=47a7753e-1638-4ca4-8b6a-9b1639951dc1,https://down-sg.img.susercontent.com/file/sg-11134201-7qvfs-ljy5c5cv3imi7a,No product description available.,03-08-23
shopee,Running,Adidas,adidas Running Kaptir 2.0 Shoes Men Black H00278,$5 OFF,$120.00 ,$84.00 ,14,https://shopee.sg/adidas-Running-Kaptir-2.0-Shoes-Men-Black-H00278-i.265436651.15773558597?sp_atk=f1742b0c-0420-47dd-8364-0e572a41cb80&xptdk=f1742b0c-0420-47dd-8364-0e572a41cb80,https://down-sg.img.susercontent.com/file/sg-11134201-7qve0-ljy430s2gxle21,No product description available.,03-08-23
shopee,Running,Puma,PUMA Softride Sophia Women's Running Shoes,NA,$119.00 ,$64.00 - $72.00,14,https://shopee.sg/PUMA-Softride-Sophia-Women's-Running-Shoes-i.341363989.23907410462?sp_atk=271208b5-5f9b-4080-9e7a-fbad9245acae&xptdk=271208b5-5f9b-4080-9e7a-fbad9245acae,https://down-sg.img.susercontent.com/file/sg-11134201-23030-4ed9syvhdoova4,No product description available.,03-08-23
shopee,Running,Asics,ASICS Men GEL-CONTEND SL Running Shoes in Black/Black,"10%Coins Cashback, 5%OFF",No Price Reduction,$89.00 ,13,https://shopee.sg/ASICS-Men-GEL-CONTEND-SL-Running-Shoes-in-Black-Black-i.455553838.23305500822?sp_atk=be902d52-de68-4863-bf1b-c7c255d04c76&xptdk=be902d52-de68-4863-bf1b-c7c255d04c76,https://down-sg.img.susercontent.com/file/sg-11134201-22110-k7757fptywjv3c,No product description available.,03-08-23
shopee,Running,Asics,ASICS Men NOVABLAST 2 LE Running Shoes in Black/Hazard Green,"10%Coins Cashback, 5%OFF",$199.00 ,$119.40 ,14,https://shopee.sg/ASICS-Men-NOVABLAST-2-LE-Running-Shoes-in-Black-Hazard-Green-i.455553838.18750015341?sp_atk=a21a4499-0dc8-42a9-bbab-92de4161b6c5&xptdk=a21a4499-0dc8-42a9-bbab-92de4161b6c5,https://down-sg.img.susercontent.com/file/c7a01eba8b2f080e36e60bc685966c06,No product description available.,03-08-23
shopee,Running,Asics,ASICS Men GEL-KAYANO 29 PLATINUM Running Shoes in Black/Black,"10%Coins Cashback, 5%OFF",$259.00 ,$181.30 ,14,https://shopee.sg/ASICS-Men-GEL-KAYANO-29-PLATINUM-Running-Shoes-in-Black-Black-i.455553838.23166058509?sp_atk=d5a101c5-12b5-4f34-ba3d-4782ac8d629f&xptdk=d5a101c5-12b5-4f34-ba3d-4782ac8d629f,https://down-sg.img.susercontent.com/file/sg-11134207-7qvda-lfzno6615u6ma0,No product description available.,03-08-23
shopee,Running,Adidas,adidas Running Galaxy 6 Shoes Women White HP2415,$5 OFF,$79.00 ,$63.20 - $79.00,12,https://shopee.sg/adidas-Running-Galaxy-6-Shoes-Women-White-HP2415-i.265436651.22366849614?sp_atk=4e9ca88b-742f-4208-b689-fa5316707ac5&xptdk=4e9ca88b-742f-4208-b689-fa5316707ac5,https://down-sg.img.susercontent.com/file/sg-11134201-7qvdq-ljm6ie2glh2v01,No product description available.,03-08-23
shopee,Running,Asics,ASICS Men NOVABLAST 3 Running Shoes in Safety Yellow/Black,"10%Coins Cashback, 5%OFF",$199.00 ,$159.20 ,12,https://shopee.sg/ASICS-Men-NOVABLAST-3-Running-Shoes-in-Safety-Yellow-Black-i.455553838.22266057297?sp_atk=d8e3f41b-06b9-4d62-aa53-6c5b2ca4c75a&xptdk=d8e3f41b-06b9-4d62-aa53-6c5b2ca4c75a,https://down-sg.img.susercontent.com/file/sg-11134207-7qvcv-lfznk5sag3r948,No product description available.,03-08-23
shopee,Running,Asics,ASICS Men GEL-KAYANO 28 MK Running Shoes in Mako Blue/Ice Mint,"10%Coins Cashback, 5%OFF",$259.00 ,$155.40 ,12,https://shopee.sg/ASICS-Men-GEL-KAYANO-28-MK-Running-Shoes-in-Mako-Blue-Ice-Mint-i.455553838.20524084077?sp_atk=68b32899-480c-43fd-b12e-ac282151226a&xptdk=68b32899-480c-43fd-b12e-ac282151226a,https://down-sg.img.susercontent.com/file/83cde7ec19dc027cc324a561aa2b0483,No product description available.,03-08-23
