NIL,Under Armour,Under Armour UA Men's Moj 2 Sportstyle Shoe,"12%OFF, 10%OFF, 10%OFF",No Price Reduction,$79.00,0,https://shopee.sg/Under-Armour-UA-Men's-Moj-2-Sportstyle-Shoe-i.252648730.20657483495?sp_atk=3515b450-1017-4854-863d-813e4c4bb6f5&xptdk=3515b450-1017-4854-863d-813e4c4bb6f5,https://down-sg.img.susercontent.com/file/sg-11134201-7qveh-livgkxs2yrr4a5,03-08-2023
NIL,Under Armour,Under Armour UA Men's HOVR™ Infinite 3 Running Shoe,"12%OFF, 10%OFF, 10%OFF",$199.00,$119.40,0,https://shopee.sg/Under-Armour-UA-Men's-HOVR™-Infinite-3-Running-Shoe-i.252648730.20259328520?sp_atk=16f9344e-62e7-4dc3-80f3-9486c5f0a7d3&xptdk=16f9344e-62e7-4dc3-80f3-9486c5f0a7d3,https://down-sg.img.susercontent.com/file/sg-11134201-7qveh-livgm5u2hvcw4c,03-08-2023
NIL,Under Armour,Under Armour UA Men's Flow Velociti Wind Colorshift Running Shoes,"12%OFF, 10%OFF, 10%OFF",No Price Reduction,$229.00,0,https://shopee.sg/Under-Armour-UA-Men's-Flow-Velociti-Wind-Colorshift-Running-Shoes-i.252648730.19653801771?sp_atk=08ac4f96-9e9e-42e7-a7c8-c35870bbf272&xptdk=08ac4f96-9e9e-42e7-a7c8-c35870bbf272,https://down-sg.img.susercontent.com/file/sg-11134201-7qvfe-livgnrq3s4ct28,03-08-2023
NIL,Under Armour,Under Armour UA Men's HOVR™ Infinite 3 Storm Running Shoes,"12%OFF, 10%OFF, 10%OFF",$219.00,$131.40,0,https://shopee.sg/Under-Armour-UA-Men's-HOVR™-Infinite-3-Storm-Running-Shoes-i.252648730.16410094917?sp_atk=0d6583cc-e26b-4850-aeba-59d70e08f294&xptdk=0d6583cc-e26b-4850-aeba-59d70e08f294,https://down-sg.img.susercontent.com/file/sg-11134201-7qvei-livgv8r03gldc2,03-08-2023
NIL,Under Armour,Under Armour UA Men's HOVR™ Mega 2 Clone Running Shoes,"12%OFF, 10%OFF, 10%OFF",$219.00,$131.40,0,https://shopee.sg/Under-Armour-UA-Men's-HOVR™-Mega-2-Clone-Running-Shoes-i.252648730.9793488937?sp_atk=bc051cd5-a339-4eb0-975d-20e2a24e768c&xptdk=bc051cd5-a339-4eb0-975d-20e2a24e768c,https://down-sg.img.susercontent.com/file/sg-11134201-7qveq-livh8z4oo48j56,03-08-2023
NIL,Under Armour,Under Armour UA Men's HOVR™ Infinite 3 Running Shoes,"12%OFF, 10%OFF, 10%OFF",$199.00,$149.25,0,https://shopee.sg/Under-Armour-UA-Men's-HOVR™-Infinite-3-Running-Shoes-i.252648730.8922938688?sp_atk=28a54a6d-5214-4cc2-b2c2-4343b5516766&xptdk=28a54a6d-5214-4cc2-b2c2-4343b5516766,https://down-sg.img.susercontent.com/file/sg-11134201-7qve0-livh9i1uzabqf3,03-08-2023
NIL,Under Armour,Under Armour UA Men's Charged Impulse 2 Knit Running Shoes,"12%OFF, 10%OFF, 10%OFF",No Price Reduction,$99.00,0,https://shopee.sg/Under-Armour-UA-Men's-Charged-Impulse-2-Knit-Running-Shoes-i.252648730.17520192850?sp_atk=f33360da-58d8-4a45-9ce3-158186bc4d3e&xptdk=f33360da-58d8-4a45-9ce3-158186bc4d3e,https://down-sg.img.susercontent.com/file/sg-11134201-7qvea-livgt6s6c6bbb3,03-08-2023
NIL,Under Armour,Under Armour UA Men's HOVR™ Apex 3 Training Shoes,"12%OFF, 10%OFF, 10%OFF",$219.00,$131.40,0,https://shopee.sg/Under-Armour-UA-Men's-HOVR™-Apex-3-Training-Shoes-i.252648730.13737535520?sp_atk=c33f983d-46d8-412c-860b-6b29016a1189&xptdk=c33f983d-46d8-412c-860b-6b29016a1189,https://down-sg.img.susercontent.com/file/sg-11134201-7qvfe-livgz39le6mlae,03-08-2023
NIL,Under Armour,Under Armour UA Men's HOVR™ Sonic 5 Running Shoes,"12%OFF, 10%OFF, 10%OFF",$179.00,$107.40 - $179.00,0,https://shopee.sg/Under-Armour-UA-Men's-HOVR™-Sonic-5-Running-Shoes-i.252648730.21229922303?sp_atk=ef712314-c5e1-4c08-833e-a7f2a0e53785&xptdk=ef712314-c5e1-4c08-833e-a7f2a0e53785,https://down-sg.img.susercontent.com/file/sg-11134201-7qve4-lj51dctih0ctef,03-08-2023
NIL,Under Armour,Under Armour UA Men's Charge Escape 4 Running Shoes,"12%OFF, 10%OFF, 10%OFF",No Price Reduction,$129.00,0,https://shopee.sg/Under-Armour-UA-Men's-Charge-Escape-4-Running-Shoes-i.252648730.22922499364?sp_atk=59244635-3ef6-45e3-9f6d-b622bdf9b7c8&xptdk=59244635-3ef6-45e3-9f6d-b622bdf9b7c8,https://down-sg.img.susercontent.com/file/sg-11134201-7qvff-livgcudpe62x5f,03-08-2023
NIL,Under Armour,Under Armour UA Men's Charged Impulse 3 Running Shoe,"12%OFF, 10%OFF, 10%OFF",No Price Reduction,$99.00,0,https://shopee.sg/Under-Armour-UA-Men's-Charged-Impulse-3-Running-Shoe-i.252648730.22422501143?sp_atk=b7b95d47-11b2-4b71-928b-ba22173cc620&xptdk=b7b95d47-11b2-4b71-928b-ba22173cc620,https://down-sg.img.susercontent.com/file/sg-11134201-7qvf6-livgfgvp3r7za9,03-08-2023
NIL,Under Armour,Under Armour UA Men's Flow Velociti SE Running Shoe,"12%OFF, 10%OFF, 10%OFF",No Price Reduction,$199.00,0,https://shopee.sg/Under-Armour-UA-Men's-Flow-Velociti-SE-Running-Shoe-i.252648730.20554034088?sp_atk=09037de4-141b-4ff4-a042-144855e19faa&xptdk=09037de4-141b-4ff4-a042-144855e19faa,https://down-sg.img.susercontent.com/file/sg-11134201-7qvd3-livglee0nrlf0f,03-08-2023
NIL,Under Armour,Under Armour UA Men's Flow Velociti MVMNT SNG Sportstyle Shoes,"12%OFF, 10%OFF, 10%OFF",$189.00,$113.40,0,https://shopee.sg/Under-Armour-UA-Men's-Flow-Velociti-MVMNT-SNG-Sportstyle-Shoes-i.252648730.19259109795?sp_atk=ccc9caca-511d-41a6-90cb-e453aa17fb86&xptdk=ccc9caca-511d-41a6-90cb-e453aa17fb86,https://down-sg.img.susercontent.com/file/sg-11134201-7qvg2-livgotu6330td8,03-08-2023
NIL,Under Armour,Under Armour UA Men's Essential Sport style Shoes,"12%OFF, 10%OFF, 10%OFF",$79.00,$59.25,0,https://shopee.sg/Under-Armour-UA-Men's-Essential-Sport-style-Shoes-i.252648730.19172673558?sp_atk=fe16393b-a555-41f1-9cc8-d0da6b24b89a&xptdk=fe16393b-a555-41f1-9cc8-d0da6b24b89a,https://down-sg.img.susercontent.com/file/sg-11134201-7qvf5-livgoywglibx20,03-08-2023
