NIL,Under Armour,Under Armour UA Women's HOVR™ Omnia Training Shoes,"12%OFF, 10%OFF, 10%OFF",$169.00,$101.40,1,https://shopee.sg/Under-Armour-UA-Women's-HOVR™-Omnia-Training-Shoes-i.252648730.19172280403?sp_atk=86fce07a-b768-44ef-99bd-6e20dd9e9cd1&xptdk=86fce07a-b768-44ef-99bd-6e20dd9e9cd1,https://down-sg.img.susercontent.com/file/sg-11134201-7qvds-livgeo299xhde6,03-08-2023
NIL,Under Armour,Under Armour UA Women's Essential Sportstyle Shoes,"12%OFF, 10%OFF, 10%OFF",$79.00,$59.25 - $79.00,1,https://shopee.sg/Under-Armour-UA-Women's-Essential-Sportstyle-Shoes-i.252648730.7360136193?sp_atk=f845cae7-4037-4c10-b15a-a045b5d38a0a&xptdk=f845cae7-4037-4c10-b15a-a045b5d38a0a,https://down-sg.img.susercontent.com/file/sg-11134201-7qvcw-livhazuu7cb186,03-08-2023
NIL,Under Armour,Under Armour UA Women's HOVR™ Sonic 5 Running Shoe,"12%OFF, 10%OFF, 10%OFF",$179.00,$107.40 - $179.00,1,https://shopee.sg/Under-Armour-UA-Women's-HOVR™-Sonic-5-Running-Shoe-i.252648730.21972671181?sp_atk=d93d7a2b-795e-4416-9fa5-acde4789eded&xptdk=d93d7a2b-795e-4416-9fa5-acde4789eded,https://down-sg.img.susercontent.com/file/sg-11134201-7qvd0-livghtg1cqr7c7,03-08-2023
NIL,Under Armour,Under Armour UA Women's Charge Vantage 2 Running Shoes,"12%OFF, 10%OFF, 10%OFF",$99.00,$74.25,0,https://shopee.sg/Under-Armour-UA-Women's-Charge-Vantage-2-Running-Shoes-i.252648730.22822500220?sp_atk=26ad8678-9198-4e2d-bbf9-e87f03a0255c&xptdk=26ad8678-9198-4e2d-bbf9-e87f03a0255c,https://down-sg.img.susercontent.com/file/sg-11134201-7qvdq-livgd4qc8ufh73,03-08-2023
NIL,Under Armour,Under Armour UA Women's Mojo 2 Sport style Shoes,"12%OFF, 10%OFF, 10%OFF",No Price Reduction,$79.00,0,https://shopee.sg/Under-Armour-UA-Women's-Mojo-2-Sport-style-Shoes-i.252648730.22722500129?sp_atk=d81128e3-93fd-49c8-bb21-53788df4cbc8&xptdk=d81128e3-93fd-49c8-bb21-53788df4cbc8,https://down-sg.img.susercontent.com/file/sg-11134201-7qvfl-livgdssl17sxde,03-08-2023
NIL,Under Armour,Under Armour UA Women's Flow Velociti Wind 2 Running Shoes,"12%OFF, 10%OFF, 10%OFF",$239.00,$143.40,0,https://shopee.sg/Under-Armour-UA-Women's-Flow-Velociti-Wind-2-Running-Shoes-i.252648730.20459110491?sp_atk=e751ae4f-9d87-4a12-b6a1-e03417d6dd60&xptdk=e751ae4f-9d87-4a12-b6a1-e03417d6dd60,https://down-sg.img.susercontent.com/file/sg-11134201-7qvfs-livglnhfcn40a7,03-08-2023
NIL,Under Armour,Under Armour UA Women's HOVR™ Machina 3 Running Shoes,"12%OFF, 10%OFF, 10%OFF",$239.00,$143.40,0,https://shopee.sg/Under-Armour-UA-Women's-HOVR™-Machina-3-Running-Shoes-i.252648730.20059110355?sp_atk=7bdc6208-070f-4a9a-bc4d-603d3f396d84&xptdk=7bdc6208-070f-4a9a-bc4d-603d3f396d84,https://down-sg.img.susercontent.com/file/sg-11134201-7qvf6-livgmvdl49mpf5,03-08-2023
NIL,Under Armour,Under Armour UA Women's HOVR™ Sonic 5 Running Shoes,"12%OFF, 10%OFF, 10%OFF",$179.00,$107.40,0,https://shopee.sg/Under-Armour-UA-Women's-HOVR™-Sonic-5-Running-Shoes-i.252648730.18829905352?sp_atk=920b1ea9-a232-472d-a624-fa87a16b9e75&xptdk=920b1ea9-a232-472d-a624-fa87a16b9e75,https://down-sg.img.susercontent.com/file/sg-11134201-7qvdi-livgpq78ncb144,03-08-2023
NIL,Under Armour,Under Armour UA Women's HOVR™ Sonic 5 Sporting Pursuit Running Shoes,"12%OFF, 10%OFF, 10%OFF",No Price Reduction,$179.00,0,https://shopee.sg/Under-Armour-UA-Women's-HOVR™-Sonic-5-Sporting-Pursuit-Running-Shoes-i.252648730.18729922197?sp_atk=c9b5c9e6-b785-4524-815b-9841e6617849&xptdk=c9b5c9e6-b785-4524-815b-9841e6617849,https://down-sg.img.susercontent.com/file/sg-11134201-7qvfm-livgq0563jwvf1,03-08-2023
NIL,Under Armour,Under Armour UA Women's HOVR™ Infinite 3 Storm Running Shoes,"12%OFF, 10%OFF, 10%OFF",$219.00,$131.40,0,https://shopee.sg/Under-Armour-UA-Women's-HOVR™-Infinite-3-Storm-Running-Shoes-i.252648730.17710096078?sp_atk=478949ba-7d33-4e81-b296-b8ddd53f9ceb&xptdk=478949ba-7d33-4e81-b296-b8ddd53f9ceb,https://down-sg.img.susercontent.com/file/sg-11134201-7qvd4-livgstl5nblf61,03-08-2023
