NIL,Adidas,adidas Lifestyle OZWEEGO Shoes Women Purple FX6093,$160.00,$128.00,4,https://shopee.sg/adidas-Lifestyle-OZWEEGO-Shoes-Women-Purple-FX6093-i.265436651.10265242415?sp_atk=3b70970f-47a2-4d64-8307-21424def5737&xptdk=3b70970f-47a2-4d64-8307-21424def5737,https://down-sg.img.susercontent.com/file/sg-11134201-7qveb-lg0ahx8tvd85c4,26-07-2023
NIL,Adidas,adidas Running Runfalcon 3.0 Shoes Women White HP7561,$79.00,$63.20,4,https://shopee.sg/adidas-Running-Runfalcon-3.0-Shoes-Women-White-HP7561-i.265436651.19572580072?sp_atk=e04b4306-868b-4c2a-9de0-2605690d5937&xptdk=e04b4306-868b-4c2a-9de0-2605690d5937,https://down-sg.img.susercontent.com/file/sg-11134201-7qvcy-lf4qpazdde9fcc,26-07-2023
NIL,Adidas,adidas Running Lite Racer 2.0 Shoes Women Black FZ0383,$89.00,$71.20,4,https://shopee.sg/adidas-Running-Lite-Racer-2.0-Shoes-Women-Black-FZ0383-i.265436651.21072577969?sp_atk=e5dac0ed-cdee-4d57-833a-cbd29ce57b98&xptdk=e5dac0ed-cdee-4d57-833a-cbd29ce57b98,https://down-sg.img.susercontent.com/file/sg-11134201-7qvg1-lfj57b69l5tg0d,26-07-2023
NIL,Adidas,adidas Running Runfalcon 3.0 Shoes Women White HP7557,NA,$79.00,3,https://shopee.sg/adidas-Running-Runfalcon-3.0-Shoes-Women-White-HP7557-i.265436651.22341355644?sp_atk=8ad469eb-bbbc-47d7-aebd-5e19ccbc028b&xptdk=8ad469eb-bbbc-47d7-aebd-5e19ccbc028b,https://down-sg.img.susercontent.com/file/sg-11134201-7qvfd-lfjdry4g240y50,26-07-2023
NIL,Adidas,adidas Running Start Your Run Shoes Women Purple HP5669,$99.00,$79.20,3,https://shopee.sg/adidas-Running-Start-Your-Run-Shoes-Women-Purple-HP5669-i.265436651.21372576901?sp_atk=a7784bf4-eae6-48f1-b001-b3d46baa7042&xptdk=a7784bf4-eae6-48f1-b001-b3d46baa7042,https://down-sg.img.susercontent.com/file/sg-11134201-7qvda-lfj535z3x79pb7,26-07-2023
NIL,Adidas,adidas Running Retrorun Shoes Women Pink EG4214,$95.00,$66.50,2,https://shopee.sg/adidas-Running-Retrorun-Shoes-Women-Pink-EG4214-i.265436651.19177147934?sp_atk=aa2e46b1-84e3-4901-9489-c5a3fb404bed&xptdk=aa2e46b1-84e3-4901-9489-c5a3fb404bed,https://down-sg.img.susercontent.com/file/sg-11134201-7qvg5-lg8setni7xkz83,26-07-2023
NIL,Adidas,adidas Running Response Super 3.0 Shoes Women Black GW6692,$129.00,$103.20,2,https://shopee.sg/adidas-Running-Response-Super-3.0-Shoes-Women-Black-GW6692-i.265436651.18572580469?sp_atk=acb196a6-679b-4e3d-b745-a37973b11079&xptdk=acb196a6-679b-4e3d-b745-a37973b11079,https://down-sg.img.susercontent.com/file/sg-11134201-7qvfr-lga5fl85ge9vb9,26-07-2023
NIL,Adidas,adidas Running Duramo SL Shoes Women Blue FY6708,$99.00,$79.20,2,https://shopee.sg/adidas-Running-Duramo-SL-Shoes-Women-Blue-FY6708-i.265436651.17526148859?sp_atk=0154e669-2957-46b9-9294-a008ae904904&xptdk=0154e669-2957-46b9-9294-a008ae904904,https://down-sg.img.susercontent.com/file/sg-11134201-7qveq-lg7awv9ip99h7a,26-07-2023
NIL,Adidas,adidas Lifestyle Nizza Platform Shoes Women Black FV5321,NA,$99.00,2,https://shopee.sg/adidas-Lifestyle-Nizza-Platform-Shoes-Women-Black-FV5321-i.265436651.6343831262?sp_atk=a0783067-5b52-4cdc-8a99-6313e1832b48&xptdk=a0783067-5b52-4cdc-8a99-6313e1832b48,https://down-sg.img.susercontent.com/file/sg-11134201-7qvfu-lfkhv6xxjni9df,26-07-2023
NIL,Adidas,adidas Running Duramo 9 Shoes Women Grey EG2938,$100.00,$50.00,2,https://shopee.sg/adidas-Running-Duramo-9-Shoes-Women-Grey-EG2938-i.265436651.14963951028?sp_atk=7ff66f6e-1e1d-4db8-908d-db53c7dee8b3&xptdk=7ff66f6e-1e1d-4db8-908d-db53c7dee8b3,https://down-sg.img.susercontent.com/file/sg-11134201-7qvdo-lez84kxfv62bec,26-07-2023
