lazada,NIL,Nike,Nike Women's Court Royale 2 Shoes - Black, ,No Price Reduction,$79.00,117,https://www.lazada.sg/products/nike-womens-court-royale-2-shoes-black-i2035885413.html,https://lzd-img-global.slatic.net/g/ff/kf/S2764d7624ea947b4907a9fdaddc9cfb8k.jpg_720x720q80.jpg_.webp,"NikeVINTAGE COURT STAPLE.The '70s brought along a court icon that's not going anywhere. Built to outlast every trend, it's made with at least 20% recycled content and offers a quick fix to your rotation.BenefitsSynthetic leather upper looks sharp, adds durability and is easy to style.Herringbone sole adds a fresh take on heritage styling, traction, and durability.Padded, low-cut collar looks sleek and feels comfortable.Product DetailsComfort socklinerDebossed Swoosh on the heelLarge Swoosh",10-08-2023
lazada,NIL,Nike,Nike Women's Tanjun Shoes - Black, ,No Price Reduction,$89.00,124,https://www.lazada.sg/products/nike-womens-tanjun-shoes-black-i2162161283.html,https://lzd-img-global.slatic.net/g/ff/kf/Sc7dcd9acbda94871bb42d8361acb4633p.jpg_720x720q80.jpg_.webp,"Nike Women's Tanjun Shoes - BlackA BEST-SELLING FAVORITE MADE BETTER.Forget the hype. The Nike Tanjun brings you simplicity at its best. Made with at least 20% recycled content and 100% recycled polyester laces, no detail is overlooked on this one. Lightweight. Airy. Comfortable. These are just words. This shoe is all you need.BenefitsThe upper materials are designed to stretch and form to your foot for a personalized feel that breaks in quickly.Foam midsole and outsole offer lightweight cushioning.Low-cut, padded collar looks sleek and feels great.Product DetailsSame fit and feel as original",10-08-2023
lazada,NIL,Nike,Nike Women's Air Max SC Shoes - White, ,$115.00,$93.15,47,https://www.lazada.sg/products/nike-womens-air-max-sc-shoes-white-i2731299698.html,https://lzd-img-global.slatic.net/g/ff/kf/Sf69986d47bc745019e1a4e0e853ef9fd6.jpg_720x720q80.jpg_.webp,"Nike Women's Air Max SC Shoes - WhiteOLD SCHOOL LOOK. NEW SCHOOL COMFORT.With its easy going lines, heritage track look and of course, visible Air cushioning, the Nike Air Max SC is the perfect finish to any outfit. The rich mixture of materials adds depth while making it a durable and lightweight shoe for everyday wear.BenefitsLeather, textile and mesh combine for a durable construction that's breathable and comfortable to wear all day.Originally designed for performance running, the Max Air unit delivers lightweight cushioning with every step.The foam midsole adds cushioning to last.The rubber outsole provides traction and durability.Product DetailsTraditional lacingFlex grooves in sole let your foot move naturallyNike Air Max OriginsRevolutionary Air technology first made its way into Nike footwear in 1978. In 1987, the Air Max 1 debuted with visible Air technology in its heel, allowing fans more than just the feel of Air cushioning—suddenly they could see it. Since then, next-generation Air Max shoes have become a hit with athletes and collectors by offering striking color combinations and reliable, lightweight cushioning.",10-08-2023
lazada,NIL,Nike,Nike Women's Zoom Bella 6 Shoes - White, ,No Price Reduction,$139.00,7,https://www.lazada.sg/products/nike-womens-zoom-bella-6-shoes-white-i2715805480.html,https://lzd-img-global.slatic.net/g/ff/kf/S2d8ca1bf9522429d9c0e24bd05870efbD.jpg_720x720q80.jpg_.webp,"Nike Women's Zoom Bella 6 Shoes - WhiteUnleash your innermost strength and spirit in the Nike Zoom Bella 6. This design supports heavy lifts, explosive movements and primal post-set struts as you flaunt your hard-earned progress on the gym floor. Newly implemented Zoom Air cushioning gives you pop, and an updated forefoot ensures all sorts of foot shapes can flex through their workouts in true style.Vroom, Vroom, ZoomA Zoom Air unit stretches from the heel to the midfoot, adding comfort to every step.Revamped FrameAn updated frame in the forefoot creates more volume for an inclusive fit while maintaining confident shape and stance.Stay SolidMidfoot lacing enhances support without completely locking your foot into place. The flat sole helps keep you stable on gym surfaces.Cool and ComfortableAn inner sleeve improves ease of entry into the design while maintaining upper support. An ultra-cushiony collar keeps your ankle and heel comfortable and extends to the tongue.More BenefitsHeel material supports you during heaving lifting movements. Rubber wrap creates intuitive heel stability for added durability.Sleek design lines and sculpting add an element of style that takes you from the gym to the rest of your day.Textured mesh is lightweight and breathable.Midfoot panel adds support for a more secure fit.Product DetailsFoam midsolePull tabs on heel and tongue",10-08-2023
lazada,NIL,Nike,Nike Women's Gamma Force Shoes - White, ,No Price Reduction,$145.00,56,https://www.lazada.sg/products/nike-womens-gamma-force-shoes-white-i2715860196.html,https://lzd-img-global.slatic.net/g/ff/kf/S7aa54b20da5841d49851c09c74fb2b4fI.jpg_720x720q80.jpg_.webp,"Nike Women's Gamma Force Shoes - WhiteLayers upon layers of dimensional style—that's a force to be reckoned with. Offering both comfort and versatility, these kicks are rooted in heritage basketball culture. Collar materials pay homage to vintage sport while the subtle platform elevates your look, literally. The Gamma Force is forging its own legacy: court style that can be worn all day, wherever you go.BenefitsLeather, suede and mesh layers add a durable and dimensional look to any outfit.Subtle platform lift gives you just enough height.Speckled Nike Grind rubber outsole contains at least 5% recycled content.Product DetailsRubber midsoleRubber outsoleAir Force 1Debuting in 1982 as a basketball must-have, the Air Force 1 came into its own in the '90s. The clean look of the classic white-on-white AF1 was endorsed from the basketball courts to the block and beyond. Finding its rhythm in hip-hop culture, releasing limited collabs and colorways, Air Force 1 became an iconic sneaker around the globe. And with over 2000 iterations of this staple, its impact on fashion, music and sneaker culture can’t be denied.",10-08-2023
lazada,NIL,Nike,Nike Women's Court Royale Shoes - White, ,$89.00,$73.87,0,https://www.lazada.sg/products/nike-womens-court-royale-shoes-white-i2844853811.html,https://lzd-img-global.slatic.net/g/ff/kf/S28de764f66064ae4a34d828f43ec9d75O.jpg_720x720q80.jpg_.webp,"Nike Women's Court Royale Shoes - WhiteWINNING COMFORT FROM WAY BACK WHEN.An old-school design that's as fresh as the day it debuted, the Nike Court Royale features classic clean lines, a prominent Swoosh design trademark and a rubber cupsole for a comfortable finish.BenefitsLeather on the upper provides a classic look and durability.Rubber cupsole is supportive and flexible for all-day comfort.",10-08-2023
lazada,NIL,Nike,Nike Women's Court Royale 2 Next Nature Shoes - White, ,$79.00,$63.99,105,https://www.lazada.sg/products/nike-womens-court-royale-2-next-nature-shoes-white-i2653244489.html,https://lzd-img-global.slatic.net/g/ff/kf/S60f319605e9f4975b5b5c5f79c8a7c9a3.jpg_720x720q80.jpg_.webp,"Nike Women's Court Royale 2 Next Nature Shoes - WhiteCourtside style meets modern times. Made with at least 20% recycled content by weight, it updates the classic tennis look you love with sustainable materials from top to bottom.BenefitsSynthetic leather is durable and easy to clean.Foam midsole adds stability and has a unique speckled appearance.Herringbone sole gives you traction and durability.Padded, low-cut collar looks sleek and feels comfortable.Product DetailsComfort sockliner100% recycled polyester laces",10-08-2023
lazada,NIL,Nike,Nike Women's Court Vision Low Shoes - White, ,$105.00,$85.05,42,https://www.lazada.sg/products/nike-womens-court-vision-low-shoes-white-i2715844316.html,https://lzd-img-global.slatic.net/g/ff/kf/S5e13963fd89549fa9e90ba56cedd436dX.jpg_720x720q80.jpg_.webp,"Nike Women's Court Vision Low Shoes - WhiteThe fastbreak style of '80s basketball meets the fast-paced culture of today's game, with the new Nike Court Vision Low. It has an upper inspired by old-school hoops sneakers and the classic rubber cupsole featured on some of the most iconic silhouettes of the past.BenefitsUsing a combination of leather, synthetic leather and rubber, the construction draws inspiration from mid-1980s basketball shoes.A rubber cupsole adds traction and durability.",10-08-2023
lazada,NIL,Nike,Nike Women's Court Vision Low Next Nature Shoes - White, ,No Price Reduction,$89.00,304,https://www.lazada.sg/products/nike-womens-court-vision-low-next-nature-shoes-white-i1945100861.html,https://lzd-img-global.slatic.net/g/ff/kf/S955898a6d0e748eea5dbe16cdf4968271.jpg_720x720q80.jpg_.webp,"Nike Women's Court Vision Low Next Nature Shoes - WhiteFRESH OFF THE COURT.So you're in love with the classic look of '80s basketball, but you've got a thing for the fast-paced culture of today's game. Meet the Nike Court Vision Low. Made with at least 20% recycled materials by weight, it has a crisp upper and stitched overlays inspired by the hook-shot look of old school b-ball. The superplush, low-cut collar keeps it sleek and comfortable for today's fast-paced world.BenefitsMade with at least 20% recycled material by weight.Using a combination of real and synthetic leather, the design features materials that echo mid-1980s basketball shoes.The padded, low-cut collar looks sleek and feels great while the perforations on the toe and sides add comfort and breathability.The vulcanized construction fuses the outsole to midsole for a streamlined look that's durable and comfortable.",10-08-2023
lazada,NIL,Nike,Nike Women's Court Legacy Next Nature Shoes - White, ,No Price Reduction,$105.00,209,https://www.lazada.sg/products/nike-womens-court-legacy-next-nature-shoes-white-i2146992054.html,https://lzd-img-global.slatic.net/g/ff/kf/S91ac847c41ce4c22a87abacb527d34041.jpg_720x720q80.jpg_.webp,"Nike Women's Court Legacy Next Nature Shoes - WhiteCOURT-INSPIRED CLASSIC.Honoring a history rooted in tennis culture, the Nike Court Legacy Next Nature brings you a time-tested staple in a design that's made from at least 20% recycled materials by weight. Its pebbled leather and retro design let you blend sport and fashion. Do good by looking good.BenefitsWhenever you see the Nike Sunburst or the name Next Nature (NN), you see one more step on our journey toward zero carbon and zero waste.Pebbled leather gives you high-quality durability and comfort.Full-length rubber outsole with herringbone pattern delivers multi-surface traction.Product DetailsCanvas trimPadded collar",10-08-2023
